Job_id,Description,Volume
187,archive,3290086
1160,weather,151648
1196,trendingdead.com,8993724
2104,shooting,290286
2335,earthquake,843051
2348,geo data test,7732574
2539,bsd,675641
2567,missouri,8208444
2572,tea party,3536250
2573,waiting,526702
2574,waiting,107194
2577,baseball,2525687
2598,Ukraine,152799
2599,Ukraine,1384
2600,Ukraine,68915
2601,Ukraine,4973
2602,Ukraine,8061370
2603,Ukraine,1252457
2604,Ukraine,26076549
2605,Ukraine,833927
2606,Ukraine,590
2607,Ukraine,18414
2608,Ukraine,591
2609,Ukraine,247
2610,Ukraine,216934
2611,Ukraine,0
2612,Ukraine,2
2616,Autism,7318111
2617,Gamer Gate,75671
2618,Gamer Gate,136920
2619,Gamer Gate,12157582
4217,Election Hashtag,268528
4218,Election Hashtag,24624040
4219,Election Hashtag,3716723
4220,Election Hashtag,460743
4221,Election Hashtag,108052
4222,Election Hashtag,8917
4223,Election Hashtag,252709
4224,Lawley,489239
4225,Lawley,1215811
4238,Cooley,1114
4239,Cooley,267
4240,Cooley,7749
4241,Nepal,6759959
4242,Florida Hurricane,15453903
4243,Florida Hurricane,85980
4244,Florida Hurricane,7003941
4245,Loftin,160
4246,Loftin,0
4247,Loftin,16
4248,Loftin,20668
4249,LaLone,2934519
4250,LaLone,72140
4253,Mizzou,2250
4254,Mizzou,1561
4255,Mizzou,248595
4256,Mizzou,451
4257,Mizzou,748811
4258,Mizzou,201828
4259,Paris 2015,354369
4260,Chicago,9939533
4261,Compton,1065437
4262,New Orleans,1916996
4263,NOLA,1222506
4264,Philadelphia,2709060
4265,Memphis,2636257
4266,Flint,2052229
4267,Detroit,1853800
4268,Michigan,2452742
